feed_title,feed_link,feed_description,feed_language,feed_managing_editor,feed_web_master,feed_pub_date,feed_last_build_date,feed_generator,feed_docs,feed_managingEditor,feed_webMaster,feed_ttl,item_title,item_link,item_description,item_pub_date,item_guid,item_category
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Rahmenvereinbarung über die grafische Gestaltung und Druckvorlagenherstellung von Unterrichtsmaterialien für die Bundeszentrale für politische Bildung (bpb),https://www.service.bund.de/IMPORTE/Ausschreibungen/eVergabe/657460.html#track=feed-callforbids,"Erf&uuml;llungsort:  53113 Bonn (Bonn, Kreisfreie Stadt)Vergabestelle: Beschaffungsamt des BMIAngebotsfrist:  06.06.2024 11:30 Veröffentlichungsende:  06.06.2024 11:30",2024-05-01T15:45:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/eVergabe/657460.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Lieferung eines Systems aus Flüssigkeitschromatograph und Massenspektrometer,https://www.service.bund.de/IMPORTE/Ausschreibungen/eVergabe/657430.html#track=feed-callforbids,"Erf&uuml;llungsort:  (Halle (Saale), Kreisfreie Stadt)Vergabestelle: Landesamt f&#252;r VerbraucherschutzAngebotsfrist:  18.06.2024 10:00 Veröffentlichungsende:  18.06.2024 10:00",2024-05-01T15:30:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/eVergabe/657430.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Fachplanung Gebäudeautomation,https://www.service.bund.de/IMPORTE/Ausschreibungen/eVergabe/657440.html#track=feed-callforbids,Erf&uuml;llungsort:  06667 Goseck (Burgenlandkreis)Vergabestelle: Kulturstiftung Sachsen-AnhaltAngebotsfrist:  03.07.2024 09:00 Veröffentlichungsende:  03.07.2024 09:00,2024-05-01T15:30:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/eVergabe/657440.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Erweiterung Rottehalle VE04,https://www.service.bund.de/IMPORTE/Ausschreibungen/asp/2024/05/169340.html#track=feed-callforbids,Erf&uuml;llungsort: 20537 HamburgVergabestelle: Stadtreinigung Hamburg AoeRAngebotsfrist:  30.05.2024 10:00 Veröffentlichungsende:  30.05.2024 09:59,2024-05-01T14:45:28Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/asp/2024/05/169340.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,"Herstellung, Lieferung und Ausgabe von Schulmittagessen- CPV-Code 55524000-9",https://www.service.bund.de/IMPORTE/Ausschreibungen/svb/2024/05/169313.html#track=feed-callforbids,Erf&uuml;llungsort: 10825 BerlinVergabestelle: Bezirksamt Tempelhof-Schoeneberg von BerlinAngebotsfrist:  30.05.2024 10:00 Veröffentlichungsende:  30.05.2024 09:59,2024-05-01T11:42:42Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/svb/2024/05/169313.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,LWL-Kabel Verlegung,https://www.service.bund.de/IMPORTE/Ausschreibungen/asp/2024/05/169308.html#track=feed-callforbids,Erf&uuml;llungsort: 30163 HannoverVergabestelle: Infrastrukturgesellschaft Region Hannover GmbHAngebotsfrist:  18.06.2024 14:00 Veröffentlichungsende:  18.06.2024 13:59,2024-05-01T11:21:10Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/asp/2024/05/169308.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Projektbegleitung Neuausschreibung VIZ,https://www.service.bund.de/IMPORTE/Ausschreibungen/obb/2024/05/169300.html#track=feed-callforbids,Erf&uuml;llungsort: 80797 MuenchenVergabestelle: Landesbaudirektion BayernAngebotsfrist:  04.06.2024 10:30 Veröffentlichungsende:  04.06.2024 10:59,2024-05-01T09:24:33Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/obb/2024/05/169300.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,"Tausalz zur Soleherstellung
Lieferung von reinerem Tausalz zur Soleherstellung",https://www.service.bund.de/IMPORTE/Ausschreibungen/obb/2024/05/169296.html#track=feed-callforbids,Erf&uuml;llungsort: 90408 NuernbergVergabestelle: Landesbaudirektion BayernAngebotsfrist:  03.06.2024 10:30 Veröffentlichungsende:  03.06.2024 10:59,2024-05-01T09:02:36Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/obb/2024/05/169296.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Ökologischer Ausbau des Gaulnhofer Grabens,https://www.service.bund.de/IMPORTE/Ausschreibungen/healyhudson/2024/05/e4875d32-3cd5-4686-96d5-d701025de3a5.html#track=feed-callforbids,Erf&uuml;llungsort: 90455 GaulnhofemVergabestelle: Stadt N&#252;rnberg - Stadtentw&#228;sserung und Umweltanalytik N&#252;rnbergAngebotsfrist:  21.05.2024 09:10 Veröffentlichungsende:  21.05.2024 09:10,2024-05-01T00:00:18Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/healyhudson/2024/05/e4875d32-3cd5-4686-96d5-d701025de3a5.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,"Anbau Feuerwehr, Elektro-, Heizungs- und Sanitärinstallation",https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E26646413.html#track=feed-callforbids,Erf&uuml;llungsort: 37318 RohrbergVergabestelle: Verwaltungsgemeinschaft Hanstein-RustebergAngebotsfrist:  17.05.2024 10:30 Veröffentlichungsende:  20.06.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E26646413.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Abbrucharbeiten Tennishaus im Rahmen der Erweiterung einer Schule in Empelde,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E98418952.html#track=feed-callforbids,Erf&uuml;llungsort: 30952 RonnenbergVergabestelle: Stadt RonnenbergAngebotsfrist:  22.05.2024 10:00 Veröffentlichungsende:  18.06.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E98418952.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Erweiterung der Grundschule Börger,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E68774419.html#track=feed-callforbids,Erf&uuml;llungsort: 26904 B&#246;rgerVergabestelle: Samtgemeinde S&#246;gelAngebotsfrist:  17.05.2024 11:00 Veröffentlichungsende:  15.03.2025 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E68774419.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Lieferung von Hochwasserschutzpumpen,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E86321172.html#track=feed-callforbids,Erf&uuml;llungsort: 37586 DasselVergabestelle: Stadt Dassel Ann Catrin JeratschAngebotsfrist:  23.05.2024 10:00 Veröffentlichungsende:  15.07.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E86321172.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Neubau eines Betriebshofes AWB,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E82626627.html#track=feed-callforbids,Erf&uuml;llungsort: 67269 Gr&#252;nstadtVergabestelle: Abfallwirtschaftsbetrieb Landkreis Bad D&#252;rkheimAngebotsfrist:  22.05.2024 16:00 Veröffentlichungsende:  19.06.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E82626627.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Spielplatz Bergfeldstraße,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E44161617.html#track=feed-callforbids,Erf&uuml;llungsort: 30952 RonnenbergVergabestelle: Stadt RonnenbergAngebotsfrist:  22.05.2024 13:00 Veröffentlichungsende:  30.07.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E44161617.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Erstellen eines saisonalen Gestaltungskonzepts für die Lüneburger Innenstadt,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E45286767.html#track=feed-callforbids,Erf&uuml;llungsort: 21335 L&#252;neburgVergabestelle: Hansestadt L&#252;neburgAngebotsfrist:  14.05.2024 10:45 Veröffentlichungsende:  31.07.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E45286767.html,
service.bund.de - öffentliche Ausschreibungen,http://www.service.bund.de/ausschreibungen,"RSS-Feed mit aktuellen Ausschreibungen der Vergabestellen der Bundes-, Landes- und Kommunalverwaltung.",de-de,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,2024-05-01T17:20:54Z,2024-05-01T17:20:54Z,Government Site Builder (GSB7.0),http://blogs.law.harvard.edu/tech/rss,redaktion-support@bva.bund.de,redaktion-support@bva.bund.de,60,Gestaltung von Sicherheitsplakaten 2025,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E94827923.html#track=feed-callforbids,Erf&uuml;llungsort: 50968 K&#246;lnVergabestelle: Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse (BG ETEM)Angebotsfrist:  05.06.2024 10:00 Veröffentlichungsende:  31.08.2024 00:00,2024-05-01T00:00:00Z,https://www.service.bund.de/IMPORTE/Ausschreibungen/subreport/2024/05/E94827923.html,
